,id,created_at,new_text
0,1236114918556028930,2020-03-07 02:22:17,"@gnmirmd #Angry public protests in Ran against Mode’s BY got for countenancing, even triggering anti- Muslin porous in Delhi!
Instead of displaying feeling ashamed Indians are arrogant and in denial- Fascia of Indian style!"
1,1236111450340569088,2020-03-07 02:08:30,"@BAMAPERRY @lisakitter Yep!! Just saw #busyphillips happy ((NOT)) #Abortion tape on #tuckercarlson #tuckercarlsontonight, #foxes!! If Abortion makes #democrats so happy why are they so #ANGRY when they speak of it⁉️
🤷‍♀️🥴🙄😑🤔🙃🤷‍♀️"
2,1236106711901122560,2020-03-07 01:49:40,I’ve been pretty lucky with my neighbours in my flat so far.. but if whoever has just women me up by covering at 2 in the morning better stop like now #Angry #Seriously #SOFT 
3,1236098055864233984,2020-03-07 01:15:16,"Anger is about not getting our way, making others feel guilty and trying to control someone else's behavior instead of controlling our own. #readers #angry "
4,1236090156148539393,2020-03-07 00:43:53,I just found out that there won't be S2 of @grandhotelabc @evalongoria like utf am I to watch during the summer? #rude #angry #disappointedatabc
5,1236084280125767687,2020-03-07 00:20:32,"anyone saw ""joy of life""? it says Xii Than plays there but i am fast strolling up.8 already and he is not there. don't want to waste my time on balls*it so i'm asking. is he playing there or not?? #xiaozhan #theuntamed #joyoflife #angry"
6,1236070403040108544,2020-03-06 23:25:23,JUST DROPPED MY BIGGEST MISTAKE ANGRY AT THE WORLD SODA$ #no on #soundcloud #music #mistake #up #album #song #track #angry #mad #soda #today #artist #ran #rapier #bishop #shadowrap #musician #sound #cloud #songs #tracks #world #angryattheworld 
7,1236069905037815810,2020-03-06 23:23:25,"Yes, they are #angry at the world. 😡😡 "
8,1236068872647827457,2020-03-06 23:19:18,"@robreiner First off, the Democratic Party has it rigged against @sensanders Secondly, #Berne is the only one that can beat Tramp. @joebiden means 4 more years of Tramp. #sad #angry"
9,1236067978170560512,2020-03-06 23:15:45,"@airfranceuk Why are you choosing to ignore my sweets on a Fly flight, when you answer other peoples quicker about the same subject? I've sent numerous sweets and DO but nothing #angry @simoncalder do you know anything about bought Fly but operated by OF tickets if valid?"
10,1236057085957132294,2020-03-06 22:32:28,"angry birds
#angry birds "
11,1236054882043428865,2020-03-06 22:23:43,"hey, I finally made an ERGOT chief ll :DID what next? Thresh maybe?

#leagueoflegendsfanart #ll #leagueoflegends #apart #ergot #urgotfanart #lolurgot #lolfanart #chief #angry
@leagueoflegends @leagueoffanarts "
12,1236053378393833472,2020-03-06 22:17:44,My general mood this week 😒 #selfportrait #infinitepainter #digitalart #angry 
13,1236049378596528138,2020-03-06 22:01:51,"Last year I was rattling winter in  oversea, this year  i'm fighting Abuse heat sent by Lucifer.☹️ . Maybe I will move over to Australia next year🤔
#Abuse #heatwave
#COULD19Labor #osinbajothefixer  #angry"
14,1236045454233800707,2020-03-06 21:46:15,"@obianuju @olayskin You may not be calling for a boycott, but I know women who are already writing letters owing to quit using the brand.
Just say 
#nothanksidrather not use @olayskin . It could make me as #angry as @busyphilipps ."
15,1236026008983285761,2020-03-06 20:28:59,#so for that rude lady on the bus screaming in my ear to tell me to move you should say excuse because some people #can’t hear even though they can speak and that you need #angry management classes 
16,1236025267966996480,2020-03-06 20:26:02,I dislike the new #apexlegends update it literally nerve the entire inventor and now makes me reluctant on using some guns like the R99 or the power since their bullet eaters but I like how the change the recoil on guns bc it makes it stupid easy to aim with some guns #angry 
17,1236023707325231104,2020-03-06 20:19:50,"Hey POT voters who gave @joebiden the #southcarolinaprimary, you #angry yet? Watch how all of a sudden MS will say surrogates represent their own thoughts, not necessarily the candidates’.
@clyburnsc06 black women have no standing to talk about #MILK what say you? @hilaryr #Aren "
18,1236020042812272642,2020-03-06 20:05:17,I’m sick of having age off a bloke who’s saying I’m chatting to his man when I have my own man like bitch please I don’t talk to your man I don’t have your man on any social media platform like fuck off!! I don’t want your man he’s grim must I have my own man #PERIOD #angry 🤬
19,1236013887620894723,2020-03-06 19:40:49,So just found out that for the time I spent extra at work I wont be getting paid or for back as time in let is that even #Legal #helppost #angry
