,id,created_at,new_text
0,1236125014820368384,2020-03-07 03:02:24,I prepared for this moment 4 months ago🤣🤣 #washyourdamnhands #COULDー19 #Fear 
1,1236123697884336129,2020-03-07 02:57:10,"At a moment in your life you'll see it. Don't look, don't open, don't answer. She'll come without warning, without asking, she'll just arrive. She's not your friend, even if you say she is. Close your eyes, turn off the lights and ignore the three caps to.. to.. to.. 👊🏻 #Fear "
2,1236122196214505474,2020-03-07 02:51:12,"Investors continued to pile into safe-haven asset Friday, pushing the yield on long-term U.S. government bonds to unprecedented levels.  @WAS #bonds #stocks #markets #yields #fear"
3,1236118916407189504,2020-03-07 02:38:10,"“There are many things to be afraid of in this world &amp; many persons who endanger our security, but God is not one of them.” Eugene Peterson 
#fear #wily_rays20"
4,1236116601122050050,2020-03-07 02:28:58,"This isn’t any #COULD 19 #coronavirus this is just a #beautiful #cactus. #Remember,#fear kill more #dream than #failure #ever will! With ♾ #मेत्ता 🙏🏻 @mindfulnessfl1 .
.
.
.
.
#virus #víus #coronavirüsü… "
5,1236115596099481605,2020-03-07 02:24:58,#Sad #cleanthehouse2020 #Congress and #whitehouse #enoughisenough #nomoretrashtalk #trumpvirus is #Fear and #Shaking #wethepeople need #Leadership that cares about #allpeople #fridayfeeling Much 6:8 #MAKE #coronavirus 
6,1236108520392503297,2020-03-07 01:56:51,"Why Worry !! 
#anxiety #depression #stress #fear #phobia #old #schizophrenia #bipolar #sycosis #anxietydisorders #panic #panicattacks  #mentalhealthawareness #mentalhealth #mentalhealthmatters #healing #distancehealing #reikidistancehealing #reign "
7,1236105582777638913,2020-03-07 01:45:11,"My face when I hear #Hillbilly or #leatherface from #DID #deadbydaylight 

#horrorgame #horror #games #funny #gamememe #scarynoise #scar #fear #HOPE "
8,1236104422771453952,2020-03-07 01:40:34,"Americans are unique qualified to be way too scared about #could19 

#socialmedia penetration means we hear more about every little thing and get carried away.

#coranavirus #fear #illusion "
9,1236102604448559104,2020-03-07 01:33:21,"Live from a place of #love, not from a place of #fear. When you let your true, whole, healed self shine, the rest of the world begins to #heal with you. More on the blow: "
