,id,created_at,new_text
0,1236078848132907008,2020-03-06 23:58:57,"Simple Joy's like a Pratzen but &amp; Sweet Potato fires!!🤤
#woodford
#Satisfying
#refeedmeal 
#tunnelvision @ The Ale House, Columbia MD "
1,1236073454526439425,2020-03-06 23:37:31,"Oh man. The oatmeal here is awesome

#otteneps #highlandgrill #oatmeal #quincy #delicious #oatmealbowl #blueberries #turbinadosugar #sum #food #food #breakfast #foodiesofinstagram #foodiemn #oatmeals #flashed #satisfying "
2,1236069947639500800,2020-03-06 23:23:35,"Just did a new video of #deepcleaning and #cardetailing. Check out this #satisfying car detailing video! 
#detailed #Automobile #smallbusiness #smallbiz #smallyoutuber"
3,1236059380564381696,2020-03-06 22:41:35,Giant double pull #nipper #satisfying #sounds 
4,1236049973105569797,2020-03-06 22:04:12,Venus Flytrap Blooming Time Lapse #Carnivora #macrophotography #artlovers #photography #photooftheday #videohot #close #FOOT #photograph #videographer #videography #satisfying #timelapse 
5,1236008530257358857,2020-03-06 19:19:32,Swishing Kinetic Sand #oddlysatisfying #satisfying #as 
6,1236008068065959937,2020-03-06 19:17:42,"C - 36 Days of Type, back on track. Here’s a time lapse of me building today’s render: (couture link also in my big)
.
.
.
#cinema4D #c4d #dailyrender #satisfying #ocean #toy #studioshare #36daysoftype07 #36daysoftype #36days_C #36Days_nvidiastudio #C "
7,1236006117060145152,2020-03-06 19:09:56,#fresh #out of the #oven to #satisfying your #afternoon #break @stratfordon perthcotourism @2dayfmstratford 1071juice #eatlocalthinkglobal #itsmellswonderfulinhere #blackangusrocks #springiscoming 
8,1236005254052884480,2020-03-06 19:06:31,Today another big live edge macrocarpa bowl.. I filled this one from start to finish and will put a nice long #couture video together soon! Here’s a nice shot of the bump bits at the beginning! #zennormade #youtuber #woodturner . . . #satisfying #satin… 
9,1236003900781715461,2020-03-06 19:01:08,"Today another big live edge macrocarpa bowl.. I filled this one from start to finish and will put a nice long #couture video together soon! Here’s a nice shot of the bump bits at the beginning! #zennormade #youtuber #woodturner
.
.
.
#satisfying #satisfyingvideos #handmade… "
10,1236003760549265408,2020-03-06 19:00:35,Looking for a #satisfying #career helping others? 
11,1235999146064195584,2020-03-06 18:42:14,"Today another big live edge macrocarpa bowl.. I filled this one from start to finish and will put a nice long #couture video together soon! Here’s a nice shot of the bump bits at the beginning! #zennormade #youtuber #woodturner
.
.
.
#satisfying #satin… "
12,1235980429624307713,2020-03-06 17:27:52,"@davidkbutleruoa Symmetrical solution achieved!
#satisfying #playwithmath "
13,1235963165382492160,2020-03-06 16:19:16,ll this is the type of stuff I watch on a tired Friday. Anyone else? #fridayvibes #fridaymorning #satisfying 
14,1235959193959649281,2020-03-06 16:03:29,"House of Spektra ™
- - - - - - -
#teamtoolstoday
- - - - - - -
Shared from @allaboardwoodworks.
Creating V-Carve imlay using the @amanatool #45773-K from @toolstoday.
- - - - - - -
#toolstoday #amanatools #satisfying #oddlysatisfying #and #cncrouter "
15,1235950705518747649,2020-03-06 15:29:45,Hi Everybody! Go enjoy the first #Friday in March! Please watch and reply back rating this video 1-10. #oddlysatisfying #satisfying #relaxing
16,1235950402098483201,2020-03-06 15:28:33,"#AS #satisfying early-game no music #slaythespire UP: dealt a big hand, playing the whole thing #nintendoswitch "
17,1235942431729700865,2020-03-06 14:56:53,Very Satisfying and Relaxing #satisfying #as #slime #satisfyingvideos #oddlysatisfying #slimeasmr #satisfyingslime #satisfyingvideo #crunchyslime #satisfy #asmrcommunity #clearslime #slimevideo #asmrvideo #explorepage #relax #asmrsounds #asmrslime #satisfyingsounds 
18,1235941409821061120,2020-03-06 14:52:49,Very Satisfying and Relaxing #satisfying #as #slime #satisfyingvideos #oddlysatisfying #slimeasmr #satisfyingslime #satisfyingvideo #crunchyslime #satisfy #asmrcommunity #clearslime #slimevideo #asmrvideo #butterslime #explorepage #relax #asmrsounds #asmrslime #satisfyingsounds 
