,id,created_at,new_text
0,1236120267170013186,2020-03-07 02:43:32,"I can’t make this up..😂😂

#fridaynight #surprise #ll #fridaythoughts #Friday #now "
1,1236109023562342400,2020-03-07 01:58:51,"Today is all about her
A special friend..  My best friend in the whole wide world. 
God bless your new age dear. #birthdaypresent #born #birthday #birthdaycelebration #birthdayweekend #instabday #day #birthdaycake #birthdaygift #surprise #goodtime #birthdaygirl #birthdayparty "
2,1236106610642018305,2020-03-07 01:49:16,#party #surprise #newer #instapic #christmas #anniversary Knitted Striped Men's Ties 
3,1236100621834391552,2020-03-07 01:25:28,"#westvalleypreps THE THROWBACK TITLE: Valley Vista girls win 3rd state championship without hitting 3 #Surprise #AZNEWSMEDIA 
@vvhsgbb @Matas12 @monsoonathetics @jennahisai @made_11_ @Meek_Andrianni @arvalloolivia @sophmartinez12 @dysartusd @VOUS_CLUB "
4,1236100238492012544,2020-03-07 01:23:57,Far day with far ladies #cornwall #sunday #pampered #surprise #visitcornwall @ The Cornwall Hotel and Sea 
5,1236098831831511042,2020-03-07 01:18:21," More Breaking Bad! &it;:D
#breakingbad #penthouse #blind #reactions #walterwhite #jessepinkman #shocking #sad #upset #surprise #bryancranston "
6,1236097356971552769,2020-03-07 01:12:30,"@tinroofnash tonight from 10:30-2:30 !! SUURRPPRRIISSEE!!

#friday #fridaynight #weekend #insidenashville #local #nashville #nashville_to #party #surprise #justforyou #grewsome #weekendvibes #goodvibes… "
7,1236095221018091520,2020-03-07 01:04:00,"Team Reckoning got big things coming soon.. 😉

#teamreckoning #RUG #teamrkg #Gazing #Games #Game #Like4Like #likeforlike #Follow4Follow #followforfollow #couture #Clan #Plans #onlinegaming #Soon #Blade #deadshotjayy #rkgdeadshotjayy #rkgblade #gamingteam #gamingclan #Surprise"
8,1236092299794358272,2020-03-07 00:52:24,#Files under #dontknockittilyoutryit #applejax the #Drink #coconutrum #applejuice equals #applejax #Surprise #honeycrisp #Apple preferably #oddcombo #Equal Satisfaction on the rocks. #fridaynight #boozybeca 
9,1236087807883513856,2020-03-07 00:34:33,Headed to Costa Rich 2 serve on mission but @americanair is charging for the bags of soccer balls 2 give away. #Summed #surprise
10,1236082507822419970,2020-03-07 00:13:29,"A much needed and appreciated #surprise after a long day. 

#prebirthdaycelebration #creativecake #makeshiftcamping #futurehome #family @ Beside City, Beside "
11,1236081468553572352,2020-03-07 00:09:22,"Don't submit then quit. Apply for jobs like ""Seasonal Receiver/Stocked"" at Love's, then look for people you might know at the company. You might be able to reach out to HE directly. Ready to apply? Check out the link in our big. #supplychain #Surprise, A"
12,1236072364795990017,2020-03-06 23:33:11,I love my husband &amp; my little baby so much ❤ I've never felt so supported &amp; loved in my entire life ✌ #neversettle #happiness #joy #surprise #birthdaygirl #gloves #kitty #noimnotmarried #supported #excited @… 
13,1236067318729510913,2020-03-06 23:13:08,Thanks! It was fun to treat them to @Kerseys in path class! #surprise #chocolate #makinglearningfun 
14,1236063601787637760,2020-03-06 22:58:22,"Okay so I just learned this😳😮
#gtasanandreas #gtaonline #GAVE #console #consolegamer #consolegames #rockstargames #is2 #is2games #games #stillillgaming #game #game #gazing #gamerforlife #surprise "
15,1236063238946578432,2020-03-06 22:56:55,"#SURPRISE!! #Friends saw 1st #Asia #COVERGIRL 
on WE's #Special #WID2020 &amp; #womenshistorymonth Ed. &amp; sent 2me!2B posted @ tom!⁠

#wednesdaythoughts #thankfulthursday #WIN #fridayvibes #CO #wednesdaywisdom #women #mondaythoughts #tuesdaymotivation #women "
16,1236061276381401088,2020-03-06 22:49:07,"#SURPRISE!!Saw 1st #Asia #COVERGIRL 
@honpaulinet on WE's #Special #WID2020 &amp; #womenshistorymonth Ed.!2B @ tom.!⁠

#wednesdaythoughts #thankfulthursday #WIN #fridayvibes #girlboss #girlpower #CO #wednesdaywisdom #women #mondaythoughts #tuesdaymotivation "
17,1236061091764957185,2020-03-06 22:48:23,"SOMEONE made it past the turrets and sparks with layers today!  Crashing our Kickstarter stream!! 
❤️ 
🎉 #SURPRISE 🐕 #thedogsarefired 😂#mykungfuwasnotstrong "
18,1236050042374492161,2020-03-06 22:04:29,Is it weird that I only want you to use me tonight? #Surprise  #film #school 
19,1236047803832467456,2020-03-06 21:55:35,I'm rocking my released new song #surprise . keep voting for me at the #afrimusicsongcontest @afrimusicsc  here👇👇 
20,1236046867101700096,2020-03-06 21:51:52,"Well that was unexpected 😳

Twitch: Deadturtlejl 
.
.
.
.
.
.
#gibraltar #gibb #wrath #bloodhound #bangalore #crept #covenant #ocean #manage #watson #apexlegends #pathfinder #caustic #surprise #boone #controllergang #smallstreamer "
21,1236045160913477632,2020-03-06 21:45:05,Our Mystery Box is  🔥On our $50 Box you get a $85 Value ✨on our $100 Box you get $150+ 🤗and on our $150 you get $225+ ⭐Every purchase helps save homeless dogs! 🐶http://t.co/pub1into1U #mystery #paw #pawzsavesthedogs #domo #monthlysurprise #surprise #dogs 
22,1236043855398658048,2020-03-06 21:39:54,Wasn't expecting much but the movie turned out to be quite thrilling.  Good stuff  #movie #show #cinema #invisibleman #elisabethmoss #leighwhannell #blumhouse #darkuniverse #surprise #labor #parisian 
23,1236043847114919937,2020-03-06 21:39:52,Hobby made a happy day a whole lot better when I came home to this surprise. He got my favourite to cheer me up ☺ #lilies #surprise #flowers #thoughtful  💛 
24,1236040954693464064,2020-03-06 21:28:22,"This was such a lovely #surprise getting this in the post today! Thank you very much @Too_HE  So thoughtful, love working with you guns too! 💕 #clientlove "
25,1236036613609787392,2020-03-06 21:11:07,"Our surprise to @Oh0new0me31 on his birthday! 🎉🎂⁣
⁣
#ifaistoslimmoubc #ifaistosfamily #day #surprise #wishes "
26,1236033980106825729,2020-03-06 21:00:39,"Join the O'Really Auto Parts team! See our latest #Sales job openings, including ""Lingual Store Counter Sales"", via the link in our big. #Surprise, A"
27,1236031999187525633,2020-03-06 20:52:47,"@Lenyxed 

The thought that excites
Words from longing lips
The touch that unites
Hands on moving hips
An endless caress
Passions rising higher
Deepest desires confess
Burn me in your fire

🔥

#poem #surprise #gift"
28,1236019158988533763,2020-03-06 20:01:46,"Subscribe to our newsletter(1) and never miss Lord Vetinari’s future Memorandum here: #discord #discworldconvention #ankhmorpork #surprise
(1) the Postmaster General and He have combined forces and have assured us of timely delivery to your into "
29,1236016449996623874,2020-03-06 19:51:00,"We had a great surprise on the way home from New York! 
#network #fridayfeeling #travel #vacation #surprise #travelvlogger "
