,id,text,created_at
0,1236107171865276416,REGISTRATION ENDS NEXT WEEK!!!!!!!!!! #Signup #GradCap #Paint #entrepreneur #blackownedbusiness #excitement #GradSeason #may2020 #youready #getready #girlboss #register #today #bignews #newyear #newbeginnings https://t.co/1NrwELFDN0,2020-03-07 01:51:30
1,1236057483262791680,"Want to be content all the time?  We explain why happiness is fleeting, and why joy lasts longer.

#happiness #joy #excitement

https://t.co/EGJNCSsOW8",2020-03-06 22:34:03
2,1236048975754661888,"Okay maybe you didn't enjoy the rain this week that much. I hope you got some rest this week and are headed into the weekend with excitement! Happy Friday!!

📸: iStockPhoto
_
#beautiful #water #city #rainyweather  #umbrella #godisstillgood #excitement #peace #joy https://t.co/HeFyb54Rnq",2020-03-06 22:00:15
3,1236046350262861824,SHOWTIME 👏🏼 Grease is the Word here tonight #excitement #greaseistheword #mcsmusical https://t.co/kmHathGmCn,2020-03-06 21:49:49
4,1236026586010447872,Ooh! @UT_TowerGirl has a 2nd egg! #excitement #birdwatching #uttowergirl https://t.co/jY9QVrY0ZF,2020-03-06 20:31:17
5,1236016270341963777,The footings are in concrete and the footprint is down. It’s been fascinating this week watching the many different machines do their work. Next week the steel goes in and the building starts to take shape #excitement  #itshappening #uptonsixthform https://t.co/36cnw8EHRQ,2020-03-06 19:50:17
6,1236002643786399744,"Your Daily Petal, encore presentation... #computerscience #softwareengineering #fun #excitement https://t.co/rUQovcDScy",2020-03-06 18:56:08
7,1235973306639167494,@FiGuide @Sporting_Panda @UncleRichard16 @matthewfitrader Great show again lads. 👍 Wow the guys were experiencing Jung's synchronicity regarding Coronavirus. Do  you agree @Freunds_Mullet? I think every listener were lifted a bit when it happened. Certainly the lads 😂 listen back your reactions 😂😂😂 #excitement 🚀🚀,2020-03-06 16:59:34
8,1235958546375872515,Amazing algorithms in computing #turtlelogo 🐢 Finding the shape from the algorithm and debugging any problems we may have with programming. #greatteamwork #excitement #smashedit! https://t.co/2GZPKZFv6A,2020-03-06 16:00:55
9,1235941143159898119,@MrSteThompson Is it epic enough for jumping up and down #Excitement,2020-03-06 14:51:45
10,1235932389601406983,"The Emmo Bison comes with a dual motor with optional pedal assist.

#ebikeplus #ottawa #ebikes #emmo #bison #ebike #electric #dualmotor #pedalassist #ebikelife #ebikelife #travel #commute #transportation #ecofriendly #gogreen #ride #fub #excitement #emmobikes #emmobison https://t.co/UntBLdhmrs",2020-03-06 14:16:58
11,1235930136907784194,"When was the last time you were as excited as a little kid, and what was it about?

#LandmarkForum #LandmarkGraduate #FridayFeeling #excitement #questions #WorthAThought",2020-03-06 14:08:01
12,1235925558803996673,It’s time to erupt the children’s volcanoes in Y3!🌋 #chemicalreaction #excitement https://t.co/dw24XwA1pz,2020-03-06 13:49:50
13,1235914369113915392,The #EXCITEMENT  of learning separates youth from old age. As long as you're learning you're not old. https://t.co/zhoTwvKM7Q,2020-03-06 13:05:22
14,1235913529783435268,"Do You Feel The Need For Excitement In Your Life At Times? Let's Talk About It, Read More Here: https://t.co/kaYFmdxnrS #Excitement #Positivity #Counseling https://t.co/1IariFBS7N",2020-03-06 13:02:02
15,1235908883379445763,"https://t.co/l75Ayqoeog
We are delighted to announce that #SanskritiUniversity is organising Annual Fest Spark 2020 - A Techno-Management-Cultural Fest on 27th &amp; 28th March, 2020.

#BestUniversity #Fest #AnnualFest #Fun #Music #Dance #Entertainment #Creativity #Excitement https://t.co/FwfypCMbMV",2020-03-06 12:43:34
16,1235822547377065986,"It seems like the sun that shines on Friday has a unique beam.
Happy Friday. What are you excited for on Fridays.

#tgif #weekendvibes #oichub #sunset #sunrise #excitement #osogbo #nigeria #softwaredeveloper #webdesign https://t.co/vlGnNn4wk4",2020-03-06 07:00:30
17,1235791783071592448,"Time to do some Year 12 Formal Makeup ❤️ 
#mua #fun #excitement #year12formal #makeup #MakeupbyBecRaymond https://t.co/BCSMGmVXfa",2020-03-06 04:58:15
18,1235759505692127234,"Danceworks Artistic Manager of Visual Arts, Teresa Drews, cannot contain her #excitement for this summer! 🌞
• • • • •
Have you checked out our summer camp programs? Register today using the #linkinbio 👆 @ Danceworks,… https://t.co/psdSbGowA0",2020-03-06 02:50:00
19,1235754473001299968,"Use incentives to #motivate students to attend #school daily 👩‍🏫.
When school is a place where kids expect to experience #joy, #excitement, and #positive relationships, they are much more likely to WANT to come 🚌

✔️ Read more on our website: https://t.co/4ZzI6tZ4sS https://t.co/oFfhHvLHYL",2020-03-06 02:30:00
20,1235706123312754689,Put some positive energy into the universe and it answered back with a positive response🤗💕✨ #excitement #goodnews,2020-03-05 23:17:52
21,1235706053418823680,As some1 whose saving to relocate to #Orlando #WaltDisneyWorld &amp; some1 whose never been to either #disneyparks but have been #baptized by my spouse in #pixiedust  &amp; now enjoy learning about it! How do u keep ur #excitement going when u have 2 #save ur #money &amp; #wait???? https://t.co/fQEpqeY8zJ,2020-03-05 23:17:36
22,1235687560439046147,"Ooh, the #Excitement is mounting at #ThistleAwards , but first some fab entertainment from @callumbeattieuk @FishersLaundry @VisitScotNews https://t.co/c8v7nbmWBn",2020-03-05 22:04:07
23,1235667239019450369,Find your tribe. #love #empower #excitement #inclusion #imagination #acting #actorslife #orlando #orlandoactor #orlandoactingcoach #actingclasses #starcatcheractingstudio https://t.co/H9TWdxZkE8,2020-03-05 20:43:22
24,1235648586039406597,Geometry review through small group rotation! @JudyNosworthy leading the way in the small group review while other students have independent practice diving deeper on their skills! #engagement #smallgroup #excitement https://t.co/UKU741ObJt,2020-03-05 19:29:14
25,1235613701408845824,This is way kids learn #excitement #handson #reallifescience https://t.co/ABXuRUqaRR,2020-03-05 17:10:37
26,1235588073829920773,Just had a wonderful meeting with @whitleighpri who will be part of hub 2 for year 2 of #withflyingcolours @PlymouthCEP @TRPlymouth @ace_southwest Such a fab school - can’t wait to see what plays are co-created next year! #excitement https://t.co/xbM5enJBFK,2020-03-05 15:28:47
27,1235585350501683201,"@ABSOLUTvodka_US #AbsoluteJuice brings out the #EXCITEment in *ALL OF US*!! So, #GetJuicy &amp; #Sweepstakes this #FUN in YOUR LIFE!!😘",2020-03-05 15:17:58
28,1235574382312845313,Let new adventures begin! A new chapter ......your life’s just begun dears!😍👍😎 Explore.....challenge.....succeed.....our heartfelt wishes for you dear students! #KG2 #grade1 #excitement @AmbassadorKGdxb @KHDA https://t.co/nnPC6G6KzF,2020-03-05 14:34:23
29,1235566909048999936,Year 7 students with their #WorldBookDay books - thank you to @BrownsBFS for making this possible #lovereading #worldbookday2020 #books #excitement https://t.co/B5FWS9m0gR,2020-03-05 14:04:41
30,1235561327759724544,"We’ve got a new calendar 🗓2️⃣0️⃣2️⃣0️⃣
#Racing #MotoGP #Reschedulded #ThaiGP #Corona #BetterLate #Excitement @MotoGP https://t.co/h9TP1MLlMz",2020-03-05 13:42:30
31,1235535782145929217,"Throwback to this great @UCC_Official Team Building.
Teamwork. Creativity. Communication. Direction. Trust
#TBT #ExtremeAdventure #Fun #excitement https://t.co/ObbCcsEFoy",2020-03-05 12:01:00
32,1235522947281866753,"Quad Bikes in Busika!
#QuadBikes #ExtremeAdventure #Fun #Holiday #excitement
#thrill https://t.co/eQsfQYhfFa",2020-03-05 11:10:00
