,id,text,created_at
0,1236125014820368384,I prepared for this moment 4 months ago🤣🤣🤣🤣 #washyourdamnhands #COVIDー19 #Fear https://t.co/lR5WXKkajG,2020-03-07 03:02:24
1,1236123697884336129,"At a moment in your life you'll see it. Don't look, don't open, don't answer. She'll come without warning, without asking, she'll just arrive. She's not your friend, even if you say she is. Close your eyes, turn off the lights and ignore the three taps toc.. toc.. toc.. 👊🏻 #Fear https://t.co/8qxolfnGcj",2020-03-07 02:57:10
2,1236122196214505474,"Investors continued to pile into safe-haven assets Friday, pushing the yield on long-term U.S. government bonds to unprecedented levels.  https://t.co/eypuMZYB7B  @WSJ #bonds #stocks #markets #yields #fear",2020-03-07 02:51:12
3,1236118916407189504,"“There are many things to be afraid of in this world &amp; many persons who endanger our security, but God is not one of them.” Eugene Peterson 
#fear #wiley_rys20",2020-03-07 02:38:10
4,1236116601122050050,"This isn’t any #COVID 19 #coronavirus this is just a #beautiful #cactus. #Remember,#fear kill more #dream than #failure #ever will! With ♾ #मेत्ता 🙏🏻 @MindfulnessFL1 .
.
.
.
.
#virus #vírus #coronavirüsü… https://t.co/4uwJYjT28B",2020-03-07 02:28:58
5,1236115596099481605,#Sad #CleanTheHouse2020 #Congress and #WhiteHouse #EnoughIsEnough #NoMoreTrashTalk #TrumpVirus is #Fear and #Shaming #WeThePeople need #Leadership that cares about #AllPeople #FridayFeeling Micah 6:8 #MAKA #coronavirus https://t.co/9LX9WvPgmv,2020-03-07 02:24:58
6,1236108520392503297,"Why Worry !!!

https://t.co/9B5G0nv4km

#anxiety #depression #stress #fear #phobia #ocd #schizophrenia #bipolar #psychosis #anxietydisorders #panic #panicattacks  #mentalhealthawareness #mentalhealth #mentalhealthmatters #healing #distancehealing #reikidistancehealing #reiki https://t.co/TA8DTYkpaY",2020-03-07 01:56:51
7,1236105582777638913,"My face when I hear #Hillbilly or #LeatherFace from #DBD #DeadByDaylight 

#horrorgame #horror #games #funny #gamememe #scarynoise #scary #fear #NOPE https://t.co/WOmGNaf0Vg",2020-03-07 01:45:11
8,1236104422771453952,"Americans are uniquely qualified to be way too scared about #covid19 

#socialmedia penetration means we hear more about every little thing and get carried away.

#coranavirus #fear #illusion https://t.co/HlqfvXAGzX",2020-03-07 01:40:34
9,1236102604448559104,"Live from a place of #love, not from a place of #fear. When you let your true, whole, healed self shine, the rest of the world begins to #heal with you. More on the blog: https://t.co/QoceJBr7ZF https://t.co/PnUQEtJaFD",2020-03-07 01:33:21
10,1236101483541729280,What more can I say? #truth  #fear #reality #society #wisdom  #humor https://t.co/Vk0V22e40I,2020-03-07 01:28:53
11,1236101445893656576,Did you ever notice that the shape of a pretzel is quite similar to the biohazard symbol? #fear #NousSachons,2020-03-07 01:28:45
12,1236100481073676293,Mayor #Turner Implores Houstonians To Not Let #Fear Take Over - Mar 6 @ 8:22 PM ET https://t.co/yEB1VkunkS,2020-03-07 01:24:54
13,1236097638744768512,@CNN There will be test available for the #COVIDー19 when the individual goes to a DOCTOR and the DOCTOR orders the test. Americans wont be able to dictate or demand a #CoronaVirus test. There will be more cases coming but hardly the #BlackPlague the Media suggests. #Fear,2020-03-07 01:13:37
14,1236094245590593537,What is one #fear in your life that you will take control of today? https://t.co/1dALqyxmLu,2020-03-07 01:00:08
15,1236093796670222336,Why is there a rise in hate groups? Why are white people afraid? You tell me. #white #fear https://t.co/VXFRY9DNqO https://t.co/8fwILCA9Fj,2020-03-07 00:58:21
