,id,text,created_at
0,1236078848132907008,"Simple Joy's like a Pretzel bun &amp; Sweet Potato fries!!!🤤
#GoodFood
#Satisfying
#RefeedMeal 
#TunnelVision @ The Ale House, Columbia MD https://t.co/CRlsIsHnRu",2020-03-06 23:58:57
1,1236073454526439425,"Oh man. The oatmeal here is awesome

#otteneps #highlandgrill #oatmeal #quinoa #delicious #oatmealbowl #blueberries #turbinadosugar #yum #food #foodie #breakfast #foodiesofinstagram #foodiemn #oatmeals #flaxseed #satisfying https://t.co/yc6juwsVgf",2020-03-06 23:37:31
2,1236069947639500800,"Just did a new video of #deepcleaning and #cardetailing. Check out this #satisfying car detailing video! 

https://t.co/xQbY7QI5VV

#detailer #Automotive #SmallBusiness #SmallBiz #smallyoutuber",2020-03-06 23:23:35
3,1236059380564381696,Giant double pull #zipper #satisfying #sounds https://t.co/tHMpxGU3pR,2020-03-06 22:41:35
4,1236049973105569797,Venus Flytrap Blooming Time Lapse #Carnivore #macrophotography #ArtLovers #photography #photooftheday #videohot #closeup #FOTO #photograph #videographer #videography #satisfying #timelapse https://t.co/3oU9sZOBuC,2020-03-06 22:04:12
5,1236008530257358857,Squishing Kinetic Sand #oddlysatisfying #satisfying #asmr https://t.co/rLM0JUoqk4,2020-03-06 19:19:32
6,1236008068065959937,"C - 36 Days of Type, back on track. Here’s a time lapse of me building today’s render: https://t.co/zkinZAETP6 (YouTube link also in my bio)
.
.
.
#cinema4D #c4d #dailyrender #satisfying #octane #otoy #studioshare #36daysoftype07 #36daysoftype #36days_C #36Days_NVIDIAStudio #C https://t.co/wkMkWvvJdE",2020-03-06 19:17:42
7,1236006117060145152,#fresh #out of the #oven to #satisfying your #afternoon #break @StratfordON perthcotourism @2dayfmstratford 1071juicefm #eatlocalthinkglobal #itsmellswonderfulinhere #blackangusrocks #springiscoming https://t.co/oxkonOz4fl,2020-03-06 19:09:56
8,1236005254052884480,Today another big live edge macrocarpa bowl... I filmed this one from start to finish and will put a nice long #YouTube video together soon! Here’s a nice shot of the bumpy bits at the beginning! #zennormade #youtuber #woodturner . . . #satisfying #satis… https://t.co/kArRrbLKj1,2020-03-06 19:06:31
9,1236003900781715461,"Today another big live edge macrocarpa bowl... I filmed this one from start to finish and will put a nice long #YouTube video together soon! Here’s a nice shot of the bumpy bits at the beginning! #zennormade #youtuber #woodturner
.
.
.
#satisfying #satisfyingvideos #handmade… https://t.co/1gyXJaGVt0",2020-03-06 19:01:08
10,1236003760549265408,Looking for a #satisfying #career helping others? https://t.co/xFNrOQyy7V https://t.co/hR1nI1kyAC,2020-03-06 19:00:35
11,1235999146064195584,"Today another big live edge macrocarpa bowl... I filmed this one from start to finish and will put a nice long #YouTube video together soon! Here’s a nice shot of the bumpy bits at the beginning! #zennormade #youtuber #woodturner
.
.
.
#satisfying #satis… https://t.co/qBBCWuQFC6",2020-03-06 18:42:14
12,1235980429624307713,"@DavidKButlerUoA Symmetrical solution achieved!
#satisfying #playwithmath https://t.co/CBOdd0mtPv",2020-03-06 17:27:52
13,1235963165382492160,lol this is the type of stuff I watch on a tired Friday. Anyone else? #FridayVibes #fridaymorning #satisfying https://t.co/z2aRfCjZ1T,2020-03-06 16:19:16
14,1235959193959649281,"House of Spektra ™
- - - - - - -
#TeamTOOLSTODAY
- - - - - - -
Shared from @allaboardwoodworks.
Creating V-Carve inlay using the @amanatool #45773-K from @toolstoday.
- - - - - - -
#toolstoday #amanatools #satisfying #oddlysatisfying #cnc #cncrouter https://t.co/aM85MX9ezW",2020-03-06 16:03:29
15,1235950705518747649,"Hi Everybody! Go enjoy the first #Friday in March! Please watch and reply back rating this video 1-10. https://t.co/l7q3MmmcKb
#oddlysatisfying #satisfying #relaxing",2020-03-06 15:29:45
16,1235950402098483201,"#ASMR #satisfying early-game no music #SlayTheSpire RP: dealt a big hand, playing the whole thing #NintendoSwitch https://t.co/cDYze54QGf",2020-03-06 15:28:33
17,1235942431729700865,Very Satisfying and Relaxing #satisfying #asmr #slime #satisfyingvideos #oddlysatisfying #slimeasmr #satisfyingslime #satisfyingvideo #crunchyslime #satisfy #asmrcommunity #clearslime #slimevideo #asmrvideo #explorepage #relax #asmrsounds #asmrslime #satisfyingsounds https://t.co/zp2hMA3BMx,2020-03-06 14:56:53
18,1235941409821061120,Very Satisfying and Relaxing #satisfying #asmr #slime #satisfyingvideos #oddlysatisfying #slimeasmr #satisfyingslime #satisfyingvideo #crunchyslime #satisfy #asmrcommunity #clearslime #slimevideo #asmrvideo #butterslime #explorepage #relax #asmrsounds #asmrslime #satisfyingsounds https://t.co/iirX4YlhDY,2020-03-06 14:52:49
0,1236058094385405952,"What a great company! @thenorthface They repaired my 10 year old Denali pocket, free of charged!  That’s how you know you have a great quality product, when they stand behind it! #pleased",2020-03-06 22:36:29
1,1236037184370720768,4G AstroTurf All Weather Pitch in Mount Pleasant | 4G Synthetic Artificial Surfacing #4G #Synthetic #Sport #Surfaces #Mount #Pleasant,2020-03-06 21:13:23
2,1235968125713158144,"Quite a rainy day, it was
#rain #rainyday #pleasant #thunderstorm
#thunder #lightening #instagram #instagood #insta #instamoment #instagramers #instapic #instalikes #instalike #instalove #instaphoto #instamood #instacool #photography #photooftheday
https://t.co/esH8ZTE0ka",2020-03-06 16:38:59
3,1235934526410567680,"@BevJack That's Exactly What Happened to Me On My #LeapYear #Birthday #Saturday #Feb29 😄 1st Saturday Birthday in 28 Years!!! #NextSaturdayBirthday2048
#Pitifully #Pleasant #LeapYearBaby 🐬🐬💙🧡💙🧡",2020-03-06 14:25:28
4,1235931182757445633,"Proverbs 5:19
“Let her be as the loving hind and pleasant roe; let her breasts satisfy thee at all times; and be thou ravished always with her love.”
#Christ #DailyVerse #hebrew #husband #loving #MidweekMeditations #pleasant #satisfy #truespiritofchrist https://t.co/w1NH6h1E0O https://t.co/hOsGjaykVD",2020-03-06 14:12:11
5,1235931128919449601,"Proverbs 5:19
“Let her be as the loving hind and pleasant roe; let her breasts satisfy thee at all times; and be thou ravished always with her love.”
#hebrews #Christ #DailyVerse #hebrew #husband #loving #MidweekMeditations #pleasant #satisfy #truesp https://t.co/24mHXIgnXj https://t.co/d73Qgrgr5H",2020-03-06 14:11:58
6,1235909512214822913,#Pleased that Skylife of Turkish Airline featured our conference. It reaches 6 million passengers every month all over the world... https://t.co/WQULICaCz6 via @skylifedergisi,2020-03-06 12:46:04
7,1235897569819136000,"March 6, 2020 Bible Verses
#love #each #other .. #love #come #from #God .. #love #know #God .. #wise #understanding #pleasant #words #persuasive https://t.co/rrbhEweWKe",2020-03-06 11:58:37
8,1235881849693536257,"One of my favourite place🥰
#besantnagar #besantnagarbeach #beach #beachvibes #chennai #madras #food #evening #pleasant #sunset #walk #me @ Besant Nagar, Eliots Beach. https://t.co/ZhwovjwRlK",2020-03-06 10:56:09
9,1235868089847132160,"Truman Annex is a #pleasant tourist #destination in Key West with a good natural environment, exciting things to do and mouth-watering foods. Island Queen offers #Truman_Annex_Foundry_villa_rentals at very affordable prices. Get your accommodations booked. https://t.co/hOM2YrbtPV",2020-03-06 10:01:28
10,1235821374062489606,"Weather friendly plantation helping us in the fight against global warming.
#rain #rainyday #pleasant #plantation #green #globalwarming #weather #breeze #goodday #freshaf #energetic #momentum #nosun #journey… https://t.co/bp9I0rfkPX",2020-03-06 06:55:50
11,1235808770271240192,"🌟 Forever With Almighty 🌟
#BPSQuotesAndClickography #Thought #Photography #Sand #Sea #Beach #Trees #Click #Quote #Birds #Walk #Island #Relax #Beautiful #Pleasant #Divine #Together #God #Souls #Forever #Blissful #Peaceful #Joy #Lives https://t.co/7AjdD9CzMZ",2020-03-06 06:05:45
12,1235808767993761792,"🌟 Forever With Almighty 🌟
#BPSQuotesAndClickography #Thought #Photography #Sand #Sea #Beach #Trees #Click #Quote #Birds #Walk #Island #Relax #Beautiful #Pleasant #Divine #Together #God #Souls #Forever #Blissful #Peaceful #Joy #Lives https://t.co/fdwNsE6q1f",2020-03-06 06:05:45
13,1235766942830669824,"Early Morning Vibe in Vizag

#sunrise #dawn #morningvibes #friend #vizag #beach #cloudscape #sky #ocean #bayofbengal #seashore #pleasant 

PS: Thanks for pushing me... kartikpalem @ Visakhapatnam https://t.co/cUoC6MjxOV",2020-03-06 03:19:33
14,1235731436273053696,"Very popular！
Account opening is rapidly increasing！
Make money！
Let's have fun！
The link is in my profile！

 #influencer  #investment  #rich #Chance #Dream #money #pleasant #pride #respect #glory #Love #universe… https://t.co/KoPXl8tgT9",2020-03-06 00:58:27
15,1235703638082957312,"A #pleasant day is the #same day #someone might #view not so #nicely.

#KU #IAN1 #RRBC #IARTG #ASMSG #BookBoost #WritingCommunity #Authors #ReadingCommunity #Books #IndieBooksBeSeen #BookBlast #BookBuzz
https://t.co/2hdcWL4mHp",2020-03-05 23:08:00
16,1235637083777032193,"Finally got some Y11 results back today from an exam in January and they were very pleasing. Very high pass rate and 2 of my students got the best results out of 200 Y11's!

#pleased #NQT #exam #computing #media #GCSE #edutwitter #edchat #ITT",2020-03-05 18:43:32
17,1235635121765654535,"If #Everyone is #pleased with you but #Allah is not, 
What have you #gained ❓

If #Allah is pleased with you but no one else is,
What have you lost ❓❤️💛💚

#AR_ALAMIN",2020-03-05 18:35:44
18,1235612625947381760,"Oh, how you #takemybreathaway ! I’m so so #pleased with #all #mybabies https://t.co/kXC13nXvLl .
.
.
.
.
#siberianhusky #puppies #photography #husky #puppiesofinstagram #photo #photographer #puppy #huskylove… https://t.co/iTEkS3q6jk",2020-03-05 17:06:21
19,1235584168563593217,Resin Bound Surfacing in Mount Pleasant #Resin #Bound #Stone #Surfacing #Mount #Pleasant,2020-03-05 15:13:16
20,1235557519583567873,"GOOD #MORNING TO ALL MY #TWITTER #FOLLOWERS ! 😎🇨🇦

#PLEASANT #THURSDAY ! 😎🇨🇦 https://t.co/cC8OHWi0VM",2020-03-05 13:27:22
21,1235556581409820674,"GOOD #MORNING TO ALL MY #INSTAGRAM #FOLLOWERS ! 😎🇨🇦

#PLEASANT #THURSDAY ! 😎🇨🇦 https://t.co/vTOc0uO80r",2020-03-05 13:23:39
