,id,text,created_at
0,1236120267170013186,"I can’t make this up...😂😂😂

#FridayNight #surprise #lol #FridayThoughts #Friday #wow https://t.co/8h8VT1hJKS",2020-03-07 02:43:32
1,1236109023562342400,"Today is all about her
A special friend..  My best friend in the whole wide world. 
God bless your new age dear. #birthdaypresent #born #birthday #birthdaycelebration #birthdayweekend #instabday #bday #birthdaycake #birthdaygift #surprise #goodtime #birthdaygirl #birthdayparty https://t.co/uGx0PN1rXY",2020-03-07 01:58:51
2,1236106610642018305,#party #surprise #newyear #instapic #christmas #anniversary Knitted Striped Men's Ties https://t.co/FLZBMQnV3s https://t.co/4vugWHwyRX,2020-03-07 01:49:16
3,1236100621834391552,"#westvalleypreps THE THROWBACK TITLE: Valley Vista girls win 3rd state championship without hitting 3 #Surprise #AZNEWSMEDIA 
@VVHSgbb @Matakas12 @monsoonathetics @jennahisai @MadJ_11_ @Meek_Andrianni @ArvalloOlivia @sophmartinez12 @DysartUSD @VVHS_MCLUB 
https://t.co/bJomZS0jfr",2020-03-07 01:25:28
4,1236100238492012544,Fab day with fab ladies #cornwall #spaday #pampered #surprise #visitcornwall @ The Cornwall Hotel and Spa https://t.co/pklRx44sER,2020-03-07 01:23:57
5,1236098831831511042,"https://t.co/hWhqPaWOxU
More Breaking Bad! &gt;:D
#BreakingBad #OpenHouse #blind #reactions #WalterWhite #JessePinkman #shocking #sad #upset #surprise #BryanCranston https://t.co/tli1MjAWXb",2020-03-07 01:18:21
6,1236097356971552769,"@TinRoofNash tonight from 10:30-2:30 !!!!! SUUUURRRRPPPPRRIIISSSEEEE!!!!

#friday #fridaynight #weekend #insidenashville #local #nashville #nashville_tn #party #surprise #justforyou #getsome #weekendvibes #goodvibes… https://t.co/iQs2faamHt",2020-03-07 01:12:30
7,1236095221018091520,"Team Reckoning got big things coming soon... 😉

#TeamReckoning #RKG #TeamRKG #Gaming #Games #Game #Like4Like #LikeForLike #Follow4Follow #FollowForFollow #YouTube #Clan #Clans #OnlineGaming #Soon #Blade #DeadshotJayy #RKGDeadshotJayy #RKGBlade #GamingTeam #GamingClan #Surprise",2020-03-07 01:04:00
8,1236092299794358272,#Files under #DontKnockitTilYouTryit #AppleJax the #Drink #CoconutRum #AppleJuice equals #AppleJax #Surprise #HoneyCrisp #Apple preferably #OddCombo #Equal Satisfaction on the rocks. #FridayNight #BoozyBeca https://t.co/d1oNGV41Xe,2020-03-07 00:52:24
9,1236087807883513856,Headed to Costa Rica 2 serve on mission but @AmericanAir is charging for the bags of soccer balls 2 give away. #Bummed #surprise,2020-03-07 00:34:33
10,1236082507822419970,"A much needed and appreciated #surprise after a long day. 

#prebirthdaycelebration #creativecake #makeshiftcamping #futurehome #family @ Belize City, Belize https://t.co/B3zSWXkoKT",2020-03-07 00:13:29
11,1236081468553572352,"Don't submit then quit. Apply for jobs like ""Seasonal Receiver/Stocker"" at Lowe's, then look for people you might know at the company. You might be able to reach out to HR directly. Ready to apply? Check out the link in our bio. #SupplyChain #Surprise, AZ",2020-03-07 00:09:22
12,1236072364795990017,I love my husband &amp; my littlest baby so much ❤ I've never felt so supported &amp; loved in my entire life ✌ #neversettle #happiness #joy #surprise #birthdaygirl #myloves #kitty #noimnotmarried #supported #excited @… https://t.co/OMQtySDBjE,2020-03-06 23:33:11
13,1236067318729510913,Thanks! It was fun to treat them to @Hersheys in math class! #surprise #chocolate #makinglearningfun https://t.co/CAOWl59qX0,2020-03-06 23:13:08
